Town,lng,lat
PRIŠTINA,21.1655,42.6629
SRBICA,20.7892,42.7476
SUVA REKA,20.8319,42.3625
KOSOVSKA MITROVICA,20.866,42.8914
KOSOVSKA KAMENICA,21.5737,42.5876
UROŠEVAC,21.1483,42.3702
ŠTRPCE,21.0259,42.2406
ŠTIMLJE,21.0401,42.4329
GORA,20.6512,42.0615
ZVEČAN,20.8386,42.9108
