Town,Total,Date,Year,Month,Day,lng,lat,Population
MALI ZVORNIK,0,06-Mar-20,2020,3,6,19.1214,44.3992,12482
MALO CRNIĆE,0,06-Mar-20,2020,3,6,21.2906,44.5603,11458
MEDVEĐA,0,06-Mar-20,2020,3,6,21.5858,42.842,7438
MEROŠINA,0,06-Mar-20,2020,3,6,21.7218,43.2813,13968
MIONICA,0,06-Mar-20,2020,3,6,20.0817,44.2524,14335
NEGOTIN,0,06-Mar-20,2020,3,6,22.5308,44.2264,37056
NIŠ,0,06-Mar-20,2020,3,6,21.9,43.3304,260237
NOVA CRNJA,0,06-Mar-20,2020,3,6,20.6042,45.6685,10272
NOVA VAROŠ,0,06-Mar-20,2020,3,6,19.8117,43.46,16638
NOVI BEČEJ,0,06-Mar-20,2020,3,6,20.1364,45.6015,23925
NOVI KNEŽEVAC,0,06-Mar-20,2020,3,6,20.0958,46.041,11269
NOVI PAZAR,0,06-Mar-20,2020,3,6,20.5149,43.1375,100410
NOVI SAD,0,06-Mar-20,2020,3,6,19.8499,45.2504,341625
NOVO BRDO,0,06-Mar-20,2020,3,6,21.4406,42.6088,
OBILIĆ,0,06-Mar-20,2020,3,6,21.067,42.6869,
ODŽACI,0,06-Mar-20,2020,3,6,19.2606,45.5076,30154
OPOVO,0,06-Mar-20,2020,3,6,20.4313,45.0522,10440
ORAHOVAC,0,06-Mar-20,2020,3,6,20.6528,42.3998,
OSEČINA,0,06-Mar-20,2020,3,6,19.601,44.3728,12536
PANČEVO,0,06-Mar-20,2020,3,6,20.6443,44.8713,123414
PARAĆIN,0,06-Mar-20,2020,3,6,21.4119,43.8592,54242
PEĆ,0,06-Mar-20,2020,3,6,20.2887,42.6593,
PEĆINCI,0,06-Mar-20,2020,3,6,19.9664,44.9089,19720
PETROVAC NA MLAVI,0,06-Mar-20,2020,3,6,21.4198,44.3773,31259
PETROVARADIN,0,06-Mar-20,2020,3,6,19.8862,45.2361,33865
